время,координата,плотность,сера
1462.47,5400,850,0.6
1462.47,5500,850,0.6
1462.47,5600,850,0.6
1462.47,5700,850,0.6
1462.47,5800,850,0.6
1462.47,5900,850,0.6
1462.47,6000,850,0.6
1462.47,6100,850,0.6
1462.47,6200,850,0.6
1462.47,6300,850,0.6
1462.47,6400,850,0.6
1462.47,6500,850,0.6
1462.47,6600,850,0.6
1462.47,6700,850,0.6
1462.47,6800,850,0.6
1462.47,6900,850,0.6
1462.47,7000,850,0.6
1462.47,7100,850,0.6
1462.47,7200,850,0.6
1462.47,7300,850,0.6
1462.47,7400,850,0.6
1462.47,7500,850,0.6
1462.47,7600,850,0.6
1462.47,7700,850,0.6
1462.47,7800,850,0.6
1462.47,7900,850,0.6
1462.47,8000,850,0.6
1462.47,8100,850,0.6
1462.47,8200,850,0.6
1462.47,8300,850,0.6
1462.47,8400,850,0.6
1462.47,8500,850,0.6
1462.47,8600,850,0.6
1462.47,8700,850,0.6
1462.47,8800,850,0.6
1462.47,8900,850,0.6
1462.47,9000,850,0.6
1462.47,9100,850,0.6
1462.47,9200,850,0.6
1462.47,9300,850,0.6
1462.47,9400,850,0.6
1462.47,9500,850,0.6
1462.47,9600,850,0.6
1462.47,9700,850,0.6
1462.47,9800,850,0.6
1462.47,9900,850,0.6
1462.47,10000,850,0.6
1528.95,0,860,0.9
1528.95,100,860,0.9
1528.95,200,860,0.9
1528.95,300,860,0.9
1528.95,400,860,0.9
1528.95,500,860,0.9
1528.95,600,860,0.9
1528.95,700,860,0.9
1528.95,800,860,0.9
1528.95,900,860,0.9
1528.95,1000,860,0.9
1528.95,1100,860,0.9
1528.95,1200,860,0.9
1528.95,1300,860,0.9
1528.95,1400,860,0.9
1528.95,1500,860,0.9
1528.95,1600,860,0.9
1528.95,1700,860,0.9
1528.95,1800,860,0.9
1528.95,1900,860,0.9
1528.95,2000,860,0.9
1528.95,2100,860,0.9
1528.95,2200,860,0.9
1528.95,2300,850,0.6
1528.95,2400,850,0.6
1528.95,2500,850,0.6
1528.95,2600,850,0.6
1528.95,2700,850,0.6
1528.95,2800,850,0.6
1528.95,2900,850,0.6
1528.95,3000,850,0.6
1528.95,3100,850,0.6
1528.95,3200,850,0.6
1528.95,3300,850,0.6
1528.95,3400,850,0.6
1528.95,3500,850,0.6
1528.95,3600,850,0.6
1528.95,3700,850,0.6
1528.95,3800,850,0.6
1528.95,3900,850,0.6
1528.95,4000,850,0.6
1528.95,4100,850,0.6
1528.95,4200,850,0.6
1528.95,4300,850,0.6
1528.95,4400,850,0.6
1528.95,4500,850,0.6
1528.95,4600,850,0.6
1528.95,4700,850,0.6
1528.95,4800,850,0.6
1528.95,4900,850,0.6
1528.95,5000,850,0.6
1528.95,5100,850,0.6
1528.95,5200,850,0.6
1528.95,5300,850,0.6
1528.95,5400,850,0.6
1528.95,5500,850,0.6
1528.95,5600,850,0.6
1528.95,5700,850,0.6
1528.95,5800,850,0.6
1528.95,5900,850,0.6
1528.95,6000,850,0.6
1528.95,6100,850,0.6
1528.95,6200,850,0.6
1528.95,6300,850,0.6
1528.95,6400,850,0.6
1528.95,6500,850,0.6
1528.95,6600,850,0.6
1528.95,6700,850,0.6
